,track_title,album_name,release_year,word_diversity_score
0,Can’t Change Me,Euphoria Mourning,1999,26.973684210526315
1,Flutter Girl,Euphoria Mourning,1999,39.23076923076923
2,Preaching the End of the World,Euphoria Mourning,1999,39.30635838150289
3,Follow My Way,Euphoria Mourning,1999,60.0
4,When I’m Down,Euphoria Mourning,1999,45.19230769230769
5,Mission,Euphoria Mourning,1999,56.62650602409639
6,Wave Goodbye,Euphoria Mourning,1999,53.92156862745098
7,Moonchild,Euphoria Mourning,1999,48.67256637168141
8,Sweet Euphoria,Euphoria Mourning,1999,71.11111111111111
9,Disappearing One,Euphoria Mourning,1999,39.58333333333333
10,Pillow of Your Bones,Euphoria Mourning,1999,46.96969696969697
11,Steel Rain,Euphoria Mourning,1999,41.66666666666667
12,Sunshower,Euphoria Mourning,1999,42.857142857142854
13,Nearly Forgot My Broken Heart,Higher Truth,2015,43.859649122807014
14,Dead Wishes,Higher Truth,2015,54.761904761904766
15,Worried Moon,Higher Truth,2015,48.86363636363637
16,Before We Disappear,Higher Truth,2015,40.0
17,Through the Window,Higher Truth,2015,65.625
18,Josephine,Higher Truth,2015,55.46875
19,Murderer of Blue Skies,Higher Truth,2015,33.72781065088758
20,Higher Truth,Higher Truth,2015,30.409356725146196
21,Let Your Eyes Wander,Higher Truth,2015,52.702702702702695
22,Only These Words,Higher Truth,2015,55.81395348837209
23,Circling,Higher Truth,2015,65.32258064516128
24,Our Time In the Universe,Higher Truth,2015,52.336448598130836
25,Bend In the Road,Higher Truth,2015,55.660377358490564
26,Wrong Side,Higher Truth,2015,55.319148936170215
27,Misery Chain (Bonus Track),Higher Truth,2015,52.72727272727272
28,Our Time In the Universe (Remix),Higher Truth,2015,51.886792452830186
29,Flower,Ultramega OK,1988,73.77049180327869
30,All Your Lies,Ultramega OK,1988,25.954198473282442
31,665,Ultramega OK,1988,51.61290322580645
32,Beyond the Wheel,Ultramega OK,1988,63.38028169014085
33,667,Ultramega OK,1988,68.18181818181817
34,Mood for Trouble,Ultramega OK,1988,60.0
35,Circle of Power,Ultramega OK,1988,74.07407407407408
36,He Didn’t,Ultramega OK,1988,38.63636363636363
37,Smokestack Lightning,Ultramega OK,1988,46.15384615384615
38,Nazi Driver,Ultramega OK,1988,28.888888888888886
39,Head Injury,Ultramega OK,1988,19.718309859154928
40,Incessant Mace,Ultramega OK,1988,50.0
41,One Minute of Silence,Ultramega OK,1988,0.0
42,Been Away Too Long,King Animal,2012,43.54838709677419
43,Non-State Actor,King Animal,2012,46.76258992805755
44,By Crooked Steps,King Animal,2012,34.55882352941176
45,A Thousand Days Before,King Animal,2012,51.61290322580645
46,Blood on the Valley Floor,King Animal,2012,59.183673469387756
47,Bones of Birds,King Animal,2012,40.44943820224719
48,Taree,King Animal,2012,39.361702127659576
49,Attrition,King Animal,2012,64.77272727272727
50,Black Saturday,King Animal,2012,35.24590163934426
51,Halfway There,King Animal,2012,53.398058252427184
52,Worse Dreams,King Animal,2012,50.0
53,Eyelid’s Mouth,King Animal,2012,28.28282828282828
54,Rowing,King Animal,2012,27.966101694915253
55,Cochise,Audioslave,2002,39.21568627450981
56,Show Me How to Live,Audioslave,2002,44.800000000000004
57,Gasoline,Audioslave,2002,49.36708860759494
58,What You Are,Audioslave,2002,28.037383177570092
59,Like a Stone,Audioslave,2002,48.18181818181818
60,Set It Off,Audioslave,2002,35.099337748344375
61,Shadow on the Sun,Audioslave,2002,42.4
62,I Am the Highway,Audioslave,2002,42.70833333333333
63,Exploder,Audioslave,2002,46.09929078014184
64,Hypnotize,Audioslave,2002,37.83783783783784
65,Bring ’Em Back Alive,Audioslave,2002,54.94505494505495
66,Light My Way,Audioslave,2002,37.06896551724138
67,Getaway Car,Audioslave,2002,37.00787401574803
68,The Last Remaining Light,Audioslave,2002,55.81395348837209
69,Revelations,Revelations,2006,32.926829268292686
70,One and the Same,Revelations,2006,45.05494505494506
71,Sound of a Gun,Revelations,2006,48.41269841269841
72,Until We Fall,Revelations,2006,46.808510638297875
73,Original Fire,Revelations,2006,41.66666666666667
74,Broken City,Revelations,2006,41.76470588235294
75,Somedays,Revelations,2006,40.458015267175576
76,Shape of Things to Come,Revelations,2006,51.93798449612403
77,Jewel of the Summertime,Revelations,2006,38.52459016393443
78,Wide Awake,Revelations,2006,42.857142857142854
79,Nothing Left to Say But Goodbye,Revelations,2006,54.03225806451613
80,Moth,Revelations,2006,32.25806451612903
81,Say Hello 2 Heaven,Temple of the Dog,1991,57.34265734265735
82,Reach Down,Temple of the Dog,1991,49.504950495049506
83,Hunger Strike,Temple of the Dog,1991,25.0
84,Pushin’ Forward Back,Temple of the Dog,1991,22.162162162162165
85,Call Me a Dog,Temple of the Dog,1991,46.715328467153284
86,Times of Trouble,Temple of the Dog,1991,44.26229508196721
87,Wooden Jesus,Temple of the Dog,1991,34.81481481481482
88,Your Saviour,Temple of the Dog,1991,36.08247422680412
89,Four Walled World,Temple of the Dog,1991,43.22033898305085
90,All Night Thing,Temple of the Dog,1991,37.5
